ticker,name,entry_price,stop_loss_price,shares,risk_per_share,max_loss,note
5274.TWO,信驊,10975.0,9877.5,100,1097.5,109750.0,squeeze | 動能:2019.17
2360.TW,致茂,1560.0,1404.0,100,156.0,15600.0,squeeze | 動能:208.33
2345.TW,明泰,1625.0,1462.5,100,162.5,16250.0,squeeze | 動能:205.83
2308.TW,台達電,1460.0,1314.0,100,146.0,14600.0,squeeze | 動能:175.83
7734.TWO,印能,1765.0,1588.5,100,176.5,17650.0,squeeze | 動能:158.33
2368.TW,金像電,890.0,801.0,100,89.0,8900.0,squeeze | 動能:148.17
3491.TWO,光聖,1530.0,1377.0,100,153.0,15300.0,squeeze | 動能:144.17
3081.TWO,聯亞,1615.0,1453.5,100,161.5,16150.0,squeeze | 動能:137.50
3260.TWO,威剛,339.0,305.1,100,33.9,3390.0,squeeze | 動能:112.17
3293.TWO,鈊象,789.0,710.1,100,78.9,7890.0,squeeze | 動能:58.17
