代號,名稱,進場價,停損價,股數,每股風險,最大虧損,備註,price_change_pct,current_price,每股損益,總損益,報酬率,已停損,狀態,實際虧損
2467.TW,志聖,414.5,373.05,24,41.45,994.8,squeeze | 動能:14.83,0.012362035654208759,419.6240637786695,5.124063778669495,122.97753068806787,1.2362035654208672,False,📈 持有中,-122.97753068806787
3081.TWO,聯亞,1720.0,1548.0,5,172.0,860.0,houyi | 動能:137.50,0.1852142919229749,2038.5685821075167,318.5685821075167,1592.8429105375835,18.521429192297482,False,📈 持有中,-1592.8429105375835
3211.TWO,順達,365.0,328.5,27,36.5,985.5,squeeze | 動能:26.83,0.11959818254342156,408.6533366283489,43.65333662834888,1178.6400889654199,11.95981825434216,False,📈 持有中,-1178.6400889654199
3680.TWO,家登,410.0,369.0,24,41.0,984.0,whale | 動能:18.50,0.079597545259111,442.6349935562355,32.634993556235486,783.2398453496517,7.9597545259110944,False,📈 持有中,-783.2398453496517
5284.TW,jpp-KY,290.0,261.0,34,29.0,986.0,squeeze | 動能:12.30,-0.05319440786726904,274.573621718492,-15.426378281507994,-524.4968615712718,-5.3194407867268945,False,📈 持有中,524.4968615712718
6285.TW,啟碁,188.5,169.65,53,18.85,999.05,squeeze | 動能:8.95,-0.05320164389913921,178.47149012501225,-10.028509874987748,-531.5110233743507,-5.320164389913924,False,📈 持有中,531.5110233743507
6854.TW,錼創科技-KY,153.5,138.15,65,15.35,997.75,houyi | 動能:22.10,-0.08257491634954016,140.8247503403456,-12.675249659654412,-823.8912278775367,-8.257491634954015,False,📈 持有中,823.8912278775367
7734.TWO,印能科技,1845.0,1660.5,5,184.5,922.5,squeeze | 動能:45.20,0.1598528437324806,2139.928496686427,294.928496686427,1474.6424834321351,15.985284373248076,False,📈 持有中,-1474.6424834321351
7880.TWO,聖凰,206.5,185.85,48,20.65,991.2,squeeze | 動能:15.60,0.08033450352296266,223.08907497749178,16.589074977491777,796.2755989196053,8.03345035229626,False,📈 持有中,-796.2755989196053
8021.TW,尖點,268.0,241.2,37,26.8,991.6,whale | 動能:19.80,0.11242177333881367,298.1290352548021,30.12903525480209,1114.7743044276774,11.242177333881378,False,📈 持有中,-1114.7743044276774
